x-axis,D0-D7,D8-D15
second,,
-51.2000E-03,7,0
-51.0000E-03,7,16
-50.8000E-03,0,16
-50.6000E-03,0,16
-50.4000E-03,0,16
-50.2000E-03,0,16
-50.0000E-03,0,16
-49.8000E-03,0,16
-49.6000E-03,0,16
-49.4000E-03,0,16
-49.2000E-03,0,16
-49.0000E-03,0,16
-48.8000E-03,0,16
-48.6000E-03,255,127
-48.4000E-03,15,112
-48.2000E-03,15,0
-48.0000E-03,15,0
-47.8000E-03,15,0
-47.6000E-03,15,0
-47.4000E-03,15,0
-47.2000E-03,15,0
-47.0000E-03,15,0
-46.8000E-03,15,0
-46.6000E-03,15,0
-46.4000E-03,15,0
-46.2000E-03,15,128
-46.0000E-03,0,128
-45.8000E-03,0,128
-45.6000E-03,0,128
-45.4000E-03,0,128
-45.2000E-03,0,128
-45.0000E-03,0,128
-44.8000E-03,0,128
-44.6000E-03,0,128
-44.4000E-03,0,128
-44.2000E-03,0,128
-44.0000E-03,0,128
-43.8000E-03,0,128
-43.6000E-03,255,191
-43.4000E-03,10,0
-43.2000E-03,10,0
-43.0000E-03,10,0
-42.8000E-03,10,0
-42.6000E-03,10,0
-42.4000E-03,10,0
-42.2000E-03,10,0
-42.0000E-03,10,0
-41.8000E-03,10,0
-41.6000E-03,10,0
-41.4000E-03,10,0
-41.2000E-03,10,64
-41.0000E-03,0,64
-40.8000E-03,0,64
-40.6000E-03,0,64
-40.4000E-03,0,64
-40.2000E-03,0,64
-40.0000E-03,0,64
-39.8000E-03,0,64
-39.6000E-03,0,64
-39.4000E-03,0,64
-39.2000E-03,0,64
-39.0000E-03,0,64
-38.8000E-03,255,223
-38.6000E-03,15,208
-38.4000E-03,15,0
-38.2000E-03,15,0
-38.0000E-03,15,0
-37.8000E-03,15,0
-37.6000E-03,15,0
-37.4000E-03,15,0
-37.2000E-03,15,0
-37.0000E-03,15,0
-36.8000E-03,15,0
-36.6000E-03,15,0
-36.4000E-03,15,32
-36.2000E-03,0,32
-36.0000E-03,0,32
-35.8000E-03,0,32
-35.6000E-03,0,32
-35.4000E-03,0,32
-35.2000E-03,0,32
-35.0000E-03,0,32
-34.8000E-03,0,32
-34.6000E-03,0,32
-34.4000E-03,0,32
-34.2000E-03,0,32
-34.0000E-03,255,239
-33.8000E-03,7,224
-33.6000E-03,7,0
-33.4000E-03,7,0
-33.2000E-03,7,0
-33.0000E-03,7,0
-32.8000E-03,7,0
-32.6000E-03,7,0
-32.4000E-03,7,0
-32.2000E-03,7,0
-32.0000E-03,7,0
-31.8000E-03,7,0
-31.6000E-03,7,16
-31.4000E-03,0,16
-31.2000E-03,0,16
-31.0000E-03,0,16
-30.8000E-03,0,16
-30.6000E-03,0,16
-30.4000E-03,0,16
-30.2000E-03,0,16
-30.0000E-03,0,16
-29.8000E-03,0,16
-29.6000E-03,0,16
-29.4000E-03,0,16
-29.2000E-03,255,127
-29.0000E-03,15,112
-28.8000E-03,15,0
-28.6000E-03,15,0
-28.4000E-03,15,0
-28.2000E-03,15,0
-28.0000E-03,15,0
-27.8000E-03,15,0
-27.6000E-03,15,0
-27.4000E-03,15,0
-27.2000E-03,15,0
-27.0000E-03,15,0
-26.8000E-03,15,128
-26.6000E-03,0,128
-26.4000E-03,0,128
-26.2000E-03,0,128
-26.0000E-03,0,128
-25.8000E-03,0,128
-25.6000E-03,0,128
-25.4000E-03,0,128
-25.2000E-03,0,128
-25.0000E-03,0,128
-24.8000E-03,0,128
-24.6000E-03,0,128
-24.4000E-03,255,191
-24.2000E-03,10,176
-24.0000E-03,10,0
-23.8000E-03,10,0
-23.6000E-03,10,0
-23.4000E-03,10,0
-23.2000E-03,10,0
-23.0000E-03,10,0
-22.8000E-03,10,0
-22.6000E-03,10,0
-22.4000E-03,10,0
-22.2000E-03,10,0
-22.0000E-03,10,0
-21.8000E-03,10,64
-21.6000E-03,0,64
-21.4000E-03,0,64
-21.2000E-03,0,64
-21.0000E-03,0,64
-20.8000E-03,0,64
-20.6000E-03,0,64
-20.4000E-03,0,64
-20.2000E-03,0,64
-20.0000E-03,0,64
-19.8000E-03,0,64
-19.6000E-03,0,64
-19.4000E-03,255,223
-19.2000E-03,15,208
-19.0000E-03,15,0
-18.8000E-03,15,0
-18.6000E-03,15,0
-18.4000E-03,15,0
-18.2000E-03,15,0
-18.0000E-03,15,0
-17.8000E-03,15,0
-17.6000E-03,15,0
-17.4000E-03,15,0
-17.2000E-03,15,0
-17.0000E-03,15,32
-16.8000E-03,0,32
-16.6000E-03,0,32
-16.4000E-03,0,32
-16.2000E-03,0,32
-16.0000E-03,0,32
-15.8000E-03,0,32
-15.6000E-03,0,32
-15.4000E-03,0,32
-15.2000E-03,0,32
-15.0000E-03,0,32
-14.8000E-03,0,32
-14.6000E-03,255,239
-14.4000E-03,7,224
-14.2000E-03,7,0
-14.0000E-03,7,0
-13.8000E-03,7,0
-13.6000E-03,7,0
-13.4000E-03,7,0
-13.2000E-03,7,0
-13.0000E-03,7,0
-12.8000E-03,7,0
-12.6000E-03,7,0
-12.4000E-03,7,0
-12.2000E-03,7,16
-12.0000E-03,0,16
-11.8000E-03,0,16
-11.6000E-03,0,16
-11.4000E-03,0,16
-11.2000E-03,0,16
-11.0000E-03,0,16
-10.8000E-03,0,16
-10.6000E-03,0,16
-10.4000E-03,0,16
-10.2000E-03,0,16
-10.0000E-03,0,16
-9.8000E-03,255,127
-9.6000E-03,15,112
-9.4000E-03,15,0
-9.2000E-03,15,0
-9.0000E-03,15,0
-8.8000E-03,15,0
-8.6000E-03,15,0
-8.4000E-03,15,0
-8.2000E-03,15,0
-8.0000E-03,15,0
-7.8000E-03,15,0
-7.6000E-03,15,0
-7.4000E-03,15,128
-7.2000E-03,0,128
-7.0000E-03,0,128
-6.8000E-03,0,128
-6.6000E-03,0,128
-6.4000E-03,0,128
-6.2000E-03,0,128
-6.0000E-03,0,128
-5.8000E-03,0,128
-5.6000E-03,0,128
-5.4000E-03,0,128
-5.2000E-03,0,128
-5.0000E-03,255,191
-4.8000E-03,10,176
-4.6000E-03,10,0
-4.4000E-03,10,0
-4.2000E-03,10,0
-4.0000E-03,10,0
-3.8000E-03,10,0
-3.6000E-03,10,0
-3.4000E-03,10,0
-3.2000E-03,10,0
-3.0000E-03,10,0
-2.8000E-03,10,0
-2.6000E-03,10,64
-2.4000E-03,0,64
-2.2000E-03,0,64
-2.0000E-03,0,64
-1.8000E-03,0,64
-1.6000E-03,0,64
-1.4000E-03,0,64
-1.2000E-03,0,64
-1.0000E-03,0,64
-800.0E-06,0,64
-600.0E-06,0,64
-400.0E-06,0,64
-200.0E-06,0,64
+0.0E+00,255,223
+200.0E-06,15,208
+400.0E-06,15,0
+600.0E-06,15,0
+800.0E-06,15,0
+1.0000E-03,15,0
+1.2000E-03,15,0
+1.4000E-03,15,0
+1.6000E-03,15,0
+1.8000E-03,15,0
+2.0000E-03,15,0
+2.2000E-03,15,0
+2.4000E-03,15,32
+2.6000E-03,0,32
+2.8000E-03,0,32
+3.0000E-03,0,32
+3.2000E-03,0,32
+3.4000E-03,0,32
+3.6000E-03,0,32
+3.8000E-03,0,32
+4.0000E-03,0,32
+4.2000E-03,0,32
+4.4000E-03,0,32
